Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
69,Mature,11.8,21.8,68.0,978.0,3.5
70,Mature,11.9,21.9,69.0,977.5,2.0
71,Harvest,12.0,22.0,60.0,977.0,4.0
72,Harvest,12.1,22.1,61.0,976.5,3.5
73,Harvest,12.2,22.2,62.0,976.0,4.5
74,Harvest,12.3,22.3,63.0,975.5,3.0
75,Harvest,12.4,22.4,64.0,975.0,2.5
76,Harvest,12.5,22.5,65.0,974.5,4.0
77,Harvest,12.6,22.6,66.0,974.0,3.0
78,Harvest,12.7,22.7,67.0,973.5,4.5
79,Harvest,12.8,22.8,68.0,973.0,3.5
80,Harvest,12.9,22.9,69.0,972.5,2.0
81,Harvest,13.0,23.0,60.0,972.0,4.0
82,Harvest,13.1,23.1,61.0,971.5,3.5
83,Harvest,13.2,23.2,62.0,971.0,4.5
84,Harvest,13.3,23.3,63.0,970.5,3.0
85,Harvest,13.4,23.4,64.0,970.0,2.5
86,Harvest,13.5,23.5,65.0,969.5,4.0
87,Harvest,13.6,23.6,66.0,969.0,3.0
88,Harvest,13.7,23.7,67.0,968.5,4.5
89,Harvest,13.8,23.8,68.0,968.0,3.5
90,Harvest,13.9,23.9,69.0,967.5,2.0
91,Harvest,14.0,24.0,60.0,967.0,4.0
92,Harvest,14.1,24.1,61.0,966.5,3.5
93,Harvest,14.2,24.2,62.0,966.0,4.5
94,Harvest,14.3,24.3,63.0,965.5,3.0
95,Harvest,14.4,24.4,64.0,965.0,2.5
96,Harvest,14.5,24.5,65.0,964.5,4.0
97,Harvest,14.6,24.6,66.0,964.0,3.0
98,Harvest,14.7,24.7,67.0,963.5,4.5
99,Harvest,14.8,24.8,68.0,963.0,3.5
100,Harvest,14.9,24.9,69.0,962.5,2.0
101,Harvest,15.0,25.0,60.0,962.0,4.0
102,Harvest,15.1,25.1,61.0,961.5,3.5
103,Harvest,15.2,25.2,62.0,961.0,4.5
104,Harvest,15.3,25.3,63.0,960.5,3.0
105,Harvest,15.4,25.4,64.0,960.0,2.5
106,Harvest,15.5,25.5,65.0,959.5,4.0
107,Harvest,15.6,25.6,66.0,959.0,3.0
108,Harvest,15.7,25.7,67.0,958.5,4.5
109,Harvest,15.8,25.8,68.0,958.0,3.5
110,Harvest,15.9,25.9,69.0,957.5,2.0
111,Harvest,16.0,26.0,60.0,957.0,4.0
112,Harvest,16.1,26.1,61.0,956.5,3.5
113,Harvest,16.2,26.2,62.0,956.0,4.5
114,Harvest,16.3,26.3,63.0,955.5,3.0
115,Harvest,16.4,26.4,64.0,955.0,2.5
116,Harvest,16.5,26.5,65.0,954.5,4.0
117,Harvest,16.6,26.6,66.0,954.0,3.0
118,Harvest,16.7,26.7,67.0,953.5,4.5
119,Harvest,16.8,26.8,68.0,953.0,3.5
120,Harvest,16.9,26.9,69.0,952.5,2.0
