Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
97,Harvesting,21.3,31.3,118.0,965.0,0.0
98,Harvesting,21.4,31.4,118.5,964.5,0.0
99,Harvesting,21.5,31.5,119.0,964.0,0.0
100,Harvesting,22.0,32.0,119.5,963.5,0.0
101,Harvesting,22.1,32.1,120.0,963.0,0.0
102,Harvesting,22.2,32.2,120.5,962.5,0.0
103,Harvesting,22.3,32.3,121.0,962.0,0.0
104,Harvesting,22.4,32.4,121.5,961.5,0.0
105,Harvesting,22.5,32.5,122.0,961.0,0.0
106,Harvesting,23.0,33.0,122.5,960.5,0.0
107,Harvesting,23.1,33.1,123.0,960.0,0.0
108,Harvesting,23.2,33.2,123.5,959.5,0.0
109,Harvesting,23.3,33.3,124.0,959.0,0.0
110,Harvesting,23.4,33.4,124.5,958.5,0.0
111,Harvesting,23.5,33.5,125.0,958.0,0.0
112,Harvesting,24.0,34.0,125.5,957.5,0.0
113,Harvesting,24.1,34.1,126.0,957.0,0.0
114,Harvesting,24.2,34.2,126.5,956.5,0.0
115,Harvesting,24.3,34.3,127.0,956.0,0.0
116,Harvesting,24.4,34.4,127.5,955.5,0.0
117,Harvesting,24.5,34.5,128.0,955.0,0.0
118,Harvesting,25.0,35.0,128.5,954.5,0.0
119,Harvesting,25.1,35.1,129.0,954.0,0.0
120,Harvesting,25.2,35.2,129.5,953.5,0.0
