Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
85,Harvest,28.4,38.4,64.0,963.0,4.0
86,Harvest,28.5,38.5,65.0,962.5,5.0
87,Harvest,28.6,38.6,66.0,962.0,4.0
88,Harvest,28.7,38.7,67.0,961.5,3.0
89,Harvest,28.8,38.8,68.0,961.0,2.0
90,Harvest,28.9,38.9,69.0,960.5,4.0
91,Harvest,29.0,39.0,60.0,960.0,5.0
92,Harvest,29.1,39.1,61.0,959.5,4.0
93,Harvest,29.2,39.2,62.0,959.0,3.0
94,Harvest,29.3,39.3,63.0,958.5,2.0
95,Harvest,29.4,39.4,64.0,958.0,4.0
96,Harvest,29.5,39.5,65.0,957.5,5.0
97,Harvest,29.6,39.6,66.0,957.0,4.0
98,Harvest,29.7,39.7,67.0,956.5,3.0
99,Harvest,29.8,39.8,68.0,956.0,2.0
100,Harvest,29.9,39.9,69.0,955.5,4.0
101,Harvest,30.0,40.0,60.0,955.0,5.0
102,Harvest,30.1,40.1,61.0,954.5,4.0
103,Harvest,30.2,40.2,62.0,954.0,3.0
104,Harvest,30.3,40.3,63.0,953.5,2.0
105,Harvest,30.4,40.4,64.0,953.0,4.0
106,Harvest,30.5,40.5,65.0,952.5,5.0
107,Harvest,30.6,40.6,66.0,952.0,4.0
108,Harvest,30.7,40.7,67.0,951.5,3.0
109,Harvest,30.8,40.8,68.0,951.0,2.0
110,Harvest,30.9,40.9,69.0,950.5,4.0
111,Harvest,31.0,41.0,60.0,950.0,5.0
112,Harvest,31.1,41.1,61.0,949.5,4.0
113,Harvest,31.2,41.2,62.0,949.0,3.0
114,Harvest,31.3,41.3,63.0,948.5,2.0
115,Harvest,31.4,41.4,64.0,948.0,4.0
116,Harvest,31.5,41.5,65.0,947.5,5.0
117,Harvest,31.6,41.6,66.0,947.0,4.0
118,Harvest,31.7,41.7,67.0,946.5,3.0
119,Harvest,31.8,41.8,68.0,946.0,2.0
120,Harvest,31.9,41.9,69.0,945.5,4.0
