Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
74,Mature,46.5,56.5,63.0,978.5,0.0
75,Mature,47.0,57.0,64.0,978.0,0.0
76,Mature,47.5,57.5,65.0,977.5,0.0
77,Mature,48.0,58.0,66.0,977.0,0.0
78,Mature,48.5,58.5,67.0,976.5,0.0
79,Mature,49.0,59.0,68.0,976.0,0.0
80,Mature,49.5,59.5,69.0,975.5,0.0
81,Mature,50.0,60.0,60.0,975.0,0.0
82,Mature,50.5,60.5,61.0,974.5,0.0
83,Mature,51.0,61.0,62.0,974.0,0.0
84,Mature,51.5,61.5,63.0,973.5,0.0
85,Mature,52.0,62.0,64.0,973.0,0.0
86,Mature,52.5,62.5,65.0,972.5,0.0
87,Mature,53.0,63.0,66.0,972.0,0.0
88,Mature,53.5,63.5,67.0,971.5,0.0
89,Mature,54.0,64.0,68.0,971.0,0.0
90,Mature,54.5,64.5,69.0,970.5,0.0
91,Mature,55.0,65.0,60.0,970.0,0.0
92,Mature,55.5,65.5,61.0,969.5,0.0
93,Mature,56.0,66.0,62.0,969.0,0.0
94,Mature,56.5,66.5,63.0,968.5,0.0
95,Mature,57.0,67.0,64.0,968.0,0.0
96,Mature,57.5,67.5,65.0,967.5,0.0
97,Mature,58.0,68.0,66.0,967.0,0.0
98,Mature,58.5,68.5,67.0,966.5,0.0
99,Mature,59.0,69.0,68.0,966.0,0.0
100,Mature,59.5,69.5,69.0,965.5,0.0
101,Mature,60.0,70.0,60.0,965.0,0.0
102,Mature,60.5,70.5,61.0,964.5,0.0
103,Mature,61.0,71.0,62.0,964.0,0.0
104,Mature,61.5,71.5,63.0,963.5,0.0
105,Mature,62.0,72.0,64.0,963.0,0.0
106,Mature,62.5,72.5,65.0,962.5,0.0
107,Mature,63.0,73.0,66.0,962.0,0.0
108,Mature,63.5,73.5,67.0,961.5,0.0
109,Mature,64.0,74.0,68.0,961.0,0.0
110,Mature,64.5,74.5,69.0,960.5,0.0
111,Mature,65.0,75.0,60.0,960.0,0.0
112,Mature,65.5,75.5,61.0,959.5,0.0
113,Mature,66.0,76.0,62.0,959.0,0.0
114,Mature,66.5,76.5,63.0,958.5,0.0
115,Mature,67.0,77.0,64.0,958.0,0.0
116,Mature,67.5,77.5,65.0,957.5,0.0
117,Mature,68.0,78.0,66.0,957.0,0.0
118,Mature,68.5,78.5,67.0,956.5,0.0
119,Mature,69.0,79.0,68.0,956.0,0.0
120,Mature,69.5,79.5,69.0,955.5,0.0
