Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
92,Growth,65.5,75.5,75.0,969.5,5.0
93,Growth,66.0,76.0,70.0,969.0,6.5
94,Growth,66.5,76.5,75.0,968.5,4.0
95,Growth,67.0,77.0,80.0,968.0,5.0
96,Growth,67.5,77.5,75.0,967.5,6.0
97,Growth,68.0,78.0,70.0,967.0,7.0
98,Growth,68.5,78.5,75.0,966.5,4.5
99,Growth,69.0,79.0,80.0,966.0,5.5
100,Growth,69.5,79.5,75.0,965.5,6.0
101,Growth,70.0,80.0,70.0,965.0,4.0
102,Growth,70.5,80.5,75.0,964.5,5.0
103,Growth,71.0,81.0,80.0,964.0,6.5
104,Growth,71.5,81.5,75.0,963.5,4.0
105,Growth,72.0,82.0,70.0,963.0,5.0
106,Growth,72.5,82.5,75.0,962.5,6.0
107,Growth,73.0,83.0,80.0,962.0,5.5
108,Growth,73.5,83.5,75.0,961.5,4.0
109,Growth,74.0,84.0,70.0,961.0,6.0
110,Growth,74.5,84.5,75.0,960.5,5.0
111,Growth,75.0,85.0,80.0,960.0,4.5
112,Growth,75.5,85.5,75.0,959.5,6.5
113,Growth,76.0,86.0,70.0,959.0,7.0
114,Growth,76.5,86.5,75.0,958.5,4.0
115,Growth,77.0,87.0,80.0,958.0,5.0
116,Growth,77.5,87.5,75.0,957.5,6.0
117,Growth,78.0,88.0,70.0,957.0,4.0
118,Growth,78.5,88.5,75.0,956.5,5.0
119,Growth,79.0,89.0,80.0,956.0,6.5
120,Growth,79.5,89.5,75.0,955.5,7.0
121,Growth,80.0,90.0,70.0,955.0,4.5
122,Growth,80.5,90.5,75.0,954.5,5.5
123,Growth,81.0,91.0,80.0,954.0,4.0
124,Growth,81.5,91.5,75.0,953.5,5.0
125,Growth,82.0,92.0,70.0,953.0,6.0
126,Growth,82.5,92.5,75.0,952.5,4.0
127,Growth,83.0,93.0,80.0,952.0,5.5
128,Growth,83.5,93.5,75.0,951.5,6.5
129,Growth,84.0,94.0,70.0,951.0,4.0
130,Growth,84.5,94.5,75.0,950.5,5.0
131,Growth,85.0,95.0,80.0,950.0,6.0
132,Growth,85.5,95.5,75.0,949.5,4.5
133,Growth,86.0,96.0,70.0,949.0,5.0
134,Growth,86.5,96.5,75.0,948.5,6.5
135,Growth,87.0,97.0,80.0,948.0,4.0
136,Growth,87.5,97.5,75.0,947.5,5.5
137,Growth,88.0,98.0,70.0,947.0,6.0
138,Growth,88.5,98.5,75.0,946.5,5.0
139,Growth,89.0,99.0,80.0,946.0,4.0
140,Growth,89.5,99.5,75.0,945.5,6.5
141,Growth,90.0,100.0,70.0,945.0,7.0
142,Growth,90.5,100.5,75.0,944.5,5.0
143,Growth,91.0,101.0,80.0,944.0,4.5
144,Growth,91.5,101.5,75.0,943.5,6.0
145,Growth,92.0,102.0,70.0,943.0,7.0
146,Growth,92.5,102.5,75.0,942.5,5.5
147,Growth,93.0,103.0,80.0,942.0,6.0
148,Growth,93.5,103.5,75.0,941.5,4.0
149,Growth,94.0,104.0,70.0,941.0,5.0
150,Growth,94.5,104.5,75.0,940.5,6.0
151,Growth,95.0,105.0,80.0,940.0,4.0
152,Growth,95.5,105.5,75.0,939.5,5.0
153,Growth,96.0,106.0,70.0,939.0,6.5
154,Growth,96.5,106.5,75.0,938.5,4.5
155,Growth,97.0,107.0,80.0,938.0,5.5
156,Growth,97.5,107.5,75.0,937.5,6.0
157,Growth,98.0,108.0,70.0,937.0,4.0
158,Growth,98.5,108.5,75.0,936.5,5.0
159,Growth,99.0,109.0,80.0,936.0,6.5
160,Growth,99.5,109.5,75.0,935.5,5.0
161,Growth,100.0,110.0,70.0,935.0,4.0
162,Growth,100.5,110.5,75.0,934.5,6.0
163,Growth,101.0,111.0,80.0,934.0,7.0
164,Growth,101.5,111.5,75.0,933.5,4.5
165,Growth,102.0,112.0,70.0,933.0,5.5
166,Growth,102.5,112.5,75.0,932.5,6.0
167,Growth,103.0,113.0,80.0,932.0,4.0
168,Growth,103.5,113.5,75.0,931.5,5.0
169,Growth,104.0,114.0,70.0,931.0,6.5
170,Growth,104.5,114.5,75.0,930.5,4.5
171,Growth,105.0,115.0,80.0,930.0,5.0
172,Growth,105.5,115.5,75.0,929.5,6.0
173,Growth,106.0,116.0,70.0,929.0,4.0
174,Growth,106.5,116.5,75.0,928.5,5.0
175,Growth,107.0,117.0,80.0,928.0,6.5
176,Growth,107.5,117.5,75.0,927.5,7.0
177,Growth,108.0,118.0,70.0,927.0,5.0
178,Growth,108.5,118.5,75.0,926.5,4.0
179,Growth,109.0,119.0,80.0,926.0,5.0
180,Maturation,22.0,36.0,65.0,1020.0,0.0
