Date,Min Temp,Max Temp,Humidity,Precipitation
01-07-2003,26,32,88,29
14-07-2003,25.8,30.6,90,33.5
26-07-2003,26,29.6,92,19
30-07-2003,25,29,88,13.5
10-08-2003,27,32,80,14
25-08-2003,26.8,35,77,12
04-09-2003,26,31.2,82,9.5
06-09-2003,26,30.4,83,10.5
21-04-2002,27,37,65,0
26-04-2002,24.8,37,68,0
27-04-2002,23.2,37,67,0
05-05-2002,27,36,75,0
07-05-2002,24,35,75,0
11-05-2002,23,36,76,0.5
15-05-2002,25,32,82,49
16-05-2002,25.4,33,76,3.5
20-05-2002,29,44,56,0
01-06-2002,25,35,79,9.5
04-06-2002,25,37,75,0.5
10-06-2002,25.4,33,84,21.5
14-06-2002,27.2,34.2,78,17.5
16-06-2002,28,35.2,76,37
22-06-2002,26,29,89,10.5
25-06-2002,25,32,83,26
30-06-2002,27,30.4,88,6.5
03-07-2002,26.4,30,89,21.5
07-07-2002,28,37,68,9.5
08-07-2002,29.8,36,67,5
15-07-2002,26,34.4,71,9
16-07-2002,26,33.4,83,10
07-08-2002,27,34,75,3
09-08-2002,27.8,32.6,79,4.5
11-08-2002,26.4,31.4,87,14.5
02-09-2002,26.6,31.4,84,10
10-09-2002,26,27,88,34
17-09-2002,24,34.4,73,0
26-10-2002,22.9,30.4,71,0
02-11-2002,23,30,76,0
09-11-2002,21,31,70,0
18-11-2002,18.6,28,75,0
21-11-2002,17,28.2,74,0
29-11-2002,19,29.2,72,0
30-11-2002,17.8,29,77,0
11-12-2002,13,26.6,73,0
15-12-2002,14.8,27.2,73,0
24-12-2002,14.4,22.8,87,0
29-12-2002,12.3,23.6,73,0
02-01-2003,14,24.4,77,0
25-02-2003,20.4,35,64,0
16-03-2003,23.2,33,76,3
30-03-2003,24.3,32.8,78,8.5
31-03-2003,23.4,34,79,1.5
18-04-2003,26,35.6,76,0
03-05-2003,26.4,35,74,0
16-05-2003,26,35.6,62,0
24-05-2003,24.6,37,71,0
27-05-2003,29.2,38,65,3
28-05-2003,30,40,63,0
01-06-2003,28,38,68,0
15-06-2003,28.6,35.6,72,6.5
16-06-2003,28,35.6,77,6
17-06-2003,27.6,34.6,73,5
24-06-2003,26,34,86,6
22-07-2003,26,33,83,14
23-07-2003,27.6,34,84,4.5
25-07-2003,26,32,85,9.5
31-07-2003,26,30,86,21.5
01-08-2003,26,32,84,3.5
05-08-2003,27,34.6,76,2
07-08-2003,26,34,76,2
13-08-2003,27.8,31,87,17
16-08-2003,27,33.4,76,5
27-09-2003,25,33,87,5
09-10-2003,25,28.6,90,13.5
13-10-2003,25.4,33,80,0
17-10-2003,24.4,33,74,0.5
18-10-2003,26.4,31,80,2
19-10-2003,25.6,33,80,1
02-11-2003,23.6,30,80,0
18-12-2003,17.6,23,84,0.5
20-12-2003,18,27,73,0
21-12-2003,16.4,26.4,70,0
26-12-2003,12.4,26,67,0
03-01-2004,11.4,22,79,0
04-01-2004,11.6,18,82,0
14-01-2004,14,28,72,0
16-01-2004,16.2,26,80,0
18-01-2004,13.8,27,75,0
31-01-2004,14,28,66,0
04-02-2004,12.8,25,60,0
18-02-2004,16.6,31,61,0
20-02-2004,21,32,60,0
27-02-2004,18,33,65,0
07-03-2004,21,26,73,4
13-03-2004,23.8,35.2,63,0
14-03-2004,22.6,36,61,0
24-03-2004,26,36.8,70,0
12-04-2004,27,36,83,0
17-04-2004,27.6,37.8,79,0
01-05-2004,27,36.4,70,0
02-05-2004,27,37,70,1
14-05-2004,26.6,40,67,0.5
27-05-2004,26.5,37,71,14
15-06-2004,25.2,28,89,29.5
29-06-2004,25.8,35.6,80,7.5
30-06-2004,27,35,83,11
13-07-2004,27.4,35,76,8
16-07-2004,27.2,32,81,10
20-07-2004,26.4,36,76,3.5
