Crop Name,Crop Type,Water Requirements,Watering Schedule,Temperature,Soil Type,Humidity,Sunshine Hours,Wind Speed,Soil pH Level,Planting Dates,Harvesting Dates,Irrigation Schedules,Fertilizer Schedules
Cabbage,Vegetable,300-500,Weekly,15-25,Loamy,60-70,6-8,10-15,6.0-7.0,August-September,January-February,Every 1-2 weeks,Every 4-6 weeks
Cauliflower,Vegetable,300-500,Weekly,15-25,Loamy,60-70,6-8,10-15,6.0-7.0,August-September,January-February,Every 1-2 weeks,Every 4-6 weeks
Brinjal (Eggplant),Vegetable,400-600,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,February-March,July-August,Every 1-2 weeks,Every 4-6 weeks
Spinach,Vegetable,200-400,Weekly,15-25,Loamy,60-70,6-8,10-15,6.0-7.0,September-October,March-April,Every 1-2 weeks,Every 4-6 weeks
Green Beans,Vegetable,300-500,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,March-April,July-August,Every 1-2 weeks,Every 4-6 weeks
Pumpkin,Vegetable,400-600,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,April-May,September-October,Every 1-2 weeks,Every 4-6 weeks
Beetroot,Vegetable,300-500,Weekly,15-25,Loamy,60-70,6-8,10-15,6.0-7.0,August-September,February-March,Every 1-2 weeks,Every 4-6 weeks
Radish,Vegetable,200-400,Weekly,15-25,Loamy,60-70,6-8,10-15,6.0-7.0,September-October,February-March,Every 1-2 weeks,Every 4-6 weeks
Okra (Ladyfinger),Vegetable,300-500,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,April-May,August-September,Every 1-2 weeks,Every 4-6 weeks
Chili Pepper,Vegetable,300-500,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,February-March,July-August,Every 1-2 weeks,Every 4-6 weeks
Turmeric,Spice,400-600,Weekly,25-35,Loamy,70-80,6-8,10-15,5.5-6.5,March-April,October-November,Every 1-2 weeks,Every 6-8 weeks
Black Pepper,Spice,500-700,Weekly,25-35,Loamy,70-80,6-8,10-15,5.5-6.5,March-April,October-November,Every 1-2 weeks,Every 6-8 weeks
Cardamom,Spice,400-600,Weekly,20-30,Loamy,70-80,6-8,10-15,5.5-6.5,March-April,October-November,Every 1-2 weeks,Every 6-8 weeks
Cinnamon,Spice,500-700,Weekly,25-35,Loamy,70-80,6-8,10-15,5.5-6.5,March-April,October-November,Every 1-2 weeks,Every 6-8 weeks
Clove,Spice,500-700,Weekly,25-35,Loamy,70-80,6-8,10-15,5.5-6.5,March-April,October-November,Every 1-2 weeks,Every 6-8 weeks
Coriander,Spice,200-400,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,September-October,March-April,Every 1-2 weeks,Every 4-6 weeks
Chili,Spice,300-500,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,February-March,July-August,Every 1-2 weeks,Every 4-6 weeks
Nutmeg,Spice,500-700,Weekly,25-35,Loamy,70-80,6-8,10-15,5.5-6.5,March-April,October-November,Every 1-2 weeks,Every 6-8 weeks
Fennel Seeds,Spice,300-500,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,August-September,January-February,Every 1-2 weeks,Every 4-6 weeks
Aniseed,Spice,300-500,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,August-September,January-February,Every 1-2 weeks,Every 4-6 weeks
Cotton,Fiber,500-800,Weekly,25-35,Loamy,60-70,6-8,10-15,6.0-7.0,April-May,October-November,Every 1-2 weeks,Every 4-6 weeks
Sugarcane,Industrial,800-1200,Weekly,25-35,Loamy,70-80,6-8,10-15,6.0-7.0,January-February,December-January,Every 1-2 weeks,Every 3-4 weeks
Rubber,Industrial,800-1200,Weekly,25-35,Loamy,70-80,6-8,10-15,5.5-6.5,March-April,October-November,Every 1-2 weeks,Every 6-8 weeks
Tobacco,Industrial,400-600,Weekly,25-35,Loamy,50-60,6-8,10-15,5.5-6.5,April-May,September-October,Every 1-2 weeks,Every 4-6 weeks
Oil Palm,Industrial,800-1200,Weekly,25-35,Loamy,70-80,6-8,10-15,5.5-6.5,March-April,October-November,Every 1-2 weeks,Every 6-8 weeks
Ginger,Spice,400-600,Weekly,25-30,Loamy,70-80,6-8,10-15,5.5-6.5,March-April,October-November,Every 1-2 weeks,Every 6-8 weeks
Saffron,Spice,200-400,Weekly,15-25,Loamy,50-60,6-8,10-15,6.0-7.0,August-September,December-January,Every 1-2 weeks,Every 4-6 weeks
Cowpea (Lobia),Legume,300-500,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,April-May,August-September,Every 1-2 weeks,Every 4-6 weeks
Bitter Gourd,Vegetable,300-500,Weekly,25-30,Loamy,60-70,6-8,10-15,6.0-7.0,March-April,August-September,Every 1-2 weeks,Every 4-6 weeks
Peas (Green Peas),Vegetable,300-500,Weekly,15-25,Loamy,60-70,6-8,10-15,6.0-7.0,October-November,March-April,Every 1-2 weeks,Every 4-6 weeks
Pulses like Lentils,Pulse,300-500,Weekly,15-25,Loamy,50-60,6-8,10-15,6.0-7.0,October-November,March-April,Every 1-2 weeks,Every 4-6 weeks
Jute,Fiber,800-1200,Weekly,25-35,Loamy,70-80,6-8,10-15,6.0-7.0,May-June,September-October,Every 1-2 weeks,Every 4-6 weeks
Hemp,Fiber,600-800,Weekly,25-35,Loamy,60-70,6-8,10-15,6.0-7.0,April-May,October-November,Every 1-2 weeks,Every 4-6 weeks
Quinoa,Grain,400-600,Weekly,15-25,Loamy,50-60,6-8,10-15,6.0-7.0,March-April,July-August,Every 1-2 weeks,Every 4-6 weeks
