Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
142,Young Plant,48.3,53.3,150.5,942.5,8.0
143,Young Plant,48.4,53.4,151.0,942.0,10.0
144,Young Plant,48.5,53.5,151.5,941.5,11.0
145,Young Plant,49.0,54.0,152.0,941.0,9.0
146,Young Plant,49.1,54.1,152.5,940.5,8.0
147,Young Plant,49.2,54.2,153.0,940.0,10.0
148,Young Plant,49.3,54.3,153.5,939.5,11.0
149,Young Plant,49.4,54.4,154.0,939.0,9.0
150,Young Plant,49.5,54.5,154.5,938.5,8.0
151,Young Plant,50.0,55.0,155.0,938.0,10.0
152,Young Plant,50.1,55.1,155.5,937.5,11.0
153,Young Plant,50.2,55.2,156.0,937.0,9.0
154,Young Plant,50.3,55.3,156.5,936.5,8.0
155,Young Plant,50.4,55.4,157.0,936.0,10.0
156,Young Plant,50.5,55.5,157.5,935.5,12.0
157,Young Plant,51.0,56.0,158.0,935.0,11.0
158,Young Plant,51.1,56.1,158.5,934.5,10.0
159,Young Plant,51.2,56.2,159.0,934.0,9.0
160,Young Plant,51.3,56.3,159.5,933.5,8.0
161,Young Plant,51.4,56.4,160.0,933.0,10.0
162,Young Plant,51.5,56.5,160.5,932.5,11.0
163,Young Plant,52.0,57.0,161.0,932.0,9.0
164,Young Plant,52.1,57.1,161.5,931.5,8.0
165,Young Plant,52.2,57.2,162.0,931.0,7.0
166,Young Plant,52.3,57.3,162.5,930.5,10.0
167,Young Plant,52.4,57.4,163.0,930.0,12.0
168,Young Plant,52.5,57.5,163.5,929.5,11.0
169,Young Plant,53.0,58.0,164.0,929.0,9.0
170,Young Plant,53.1,58.1,164.5,928.5,8.0
171,Young Plant,53.2,58.2,165.0,928.0,10.0
172,Young Plant,53.3,58.3,165.5,927.5,11.0
173,Young Plant,53.4,58.4,166.0,927.0,9.0
174,Young Plant,53.5,58.5,166.5,926.5,8.0
175,Young Plant,54.0,59.0,167.0,926.0,10.0
176,Young Plant,54.1,59.1,167.5,925.5,11.0
177,Young Plant,54.2,59.2,168.0,925.0,9.0
178,Young Plant,54.3,59.3,168.5,924.5,8.0
179,Young Plant,54.4,59.4,169.0,924.0,10.0
180,Young Plant,54.5,59.5,169.5,923.5,12.0
