Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
44,Growth,41.5,46.5,73.0,993.5,0.0
45,Growth,42.0,47.0,74.0,993.0,0.1
46,Growth,42.5,47.5,75.0,992.5,0.0
47,Growth,43.0,48.0,76.0,992.0,0.0
48,Growth,43.5,48.5,77.0,991.5,0.0
49,Growth,44.0,49.0,78.0,991.0,0.0
50,Growth,44.5,49.5,79.0,990.5,0.0
51,Growth,45.0,50.0,60.0,990.0,0.0
52,Growth,45.5,50.5,61.0,989.5,0.1
53,Growth,46.0,51.0,62.0,989.0,0.0
54,Growth,46.5,51.5,63.0,988.5,0.0
55,Growth,47.0,52.0,64.0,988.0,0.2
56,Growth,47.5,52.5,65.0,987.5,0.0
57,Growth,48.0,53.0,66.0,987.0,0.1
58,Growth,48.5,53.5,67.0,986.5,0.0
59,Growth,49.0,54.0,68.0,986.0,0.0
60,Growth,49.5,54.5,69.0,985.5,0.0
61,Flowering,50.0,55.0,60.0,985.0,0.0
62,Flowering,50.5,55.5,61.0,984.5,0.1
63,Flowering,51.0,56.0,62.0,984.0,0.0
64,Flowering,51.5,56.5,63.0,983.5,0.0
65,Flowering,52.0,57.0,64.0,983.0,0.2
66,Flowering,52.5,57.5,65.0,982.5,0.0
67,Flowering,53.0,58.0,66.0,982.0,0.1
68,Flowering,53.5,58.5,67.0,981.5,0.0
69,Flowering,54.0,59.0,68.0,981.0,0.0
70,Flowering,54.5,59.5,69.0,980.5,0.0
71,Flowering,55.0,60.0,70.0,980.0,0.0
72,Flowering,55.5,60.5,71.0,979.5,0.1
73,Flowering,56.0,61.0,72.0,979.0,0.0
74,Flowering,56.5,61.5,73.0,978.5,0.0
75,Flowering,57.0,62.0,74.0,978.0,0.1
76,Flowering,57.5,62.5,75.0,977.5,0.0
77,Flowering,58.0,63.0,76.0,977.0,0.0
78,Flowering,58.5,63.5,77.0,976.5,0.0
79,Flowering,59.0,64.0,78.0,976.0,0.0
80,Flowering,59.5,64.5,79.0,975.5,0.0
81,Mature,60.0,65.0,60.0,975.0,0.0
82,Mature,60.5,65.5,61.0,974.5,0.0
83,Mature,61.0,66.0,62.0,974.0,0.0
84,Mature,61.5,66.5,63.0,973.5,0.0
85,Mature,62.0,67.0,64.0,973.0,0.0
86,Mature,62.5,67.5,65.0,972.5,0.0
87,Mature,63.0,68.0,66.0,972.0,0.0
88,Mature,63.5,68.5,67.0,971.5,0.0
89,Mature,64.0,69.0,68.0,971.0,0.0
90,Mature,64.5,69.5,69.0,970.5,0.0
91,Mature,65.0,70.0,70.0,970.0,0.0
92,Mature,65.5,70.5,71.0,969.5,0.0
93,Mature,66.0,71.0,72.0,969.0,0.0
94,Mature,66.5,71.5,73.0,968.5,0.0
95,Mature,67.0,72.0,74.0,968.0,0.0
96,Mature,67.5,72.5,75.0,967.5,0.0
97,Mature,68.0,73.0,76.0,967.0,0.0
98,Mature,68.5,73.5,77.0,966.5,0.0
99,Mature,69.0,74.0,78.0,966.0,0.0
100,Mature,69.5,74.5,79.0,965.5,0.0
101,Mature,70.0,75.0,60.0,965.0,0.0
102,Mature,70.5,75.5,61.0,964.5,0.0
103,Mature,71.0,76.0,62.0,964.0,0.0
104,Mature,71.5,76.5,63.0,963.5,0.0
105,Mature,72.0,77.0,64.0,963.0,0.0
106,Mature,72.5,77.5,65.0,962.5,0.0
107,Mature,73.0,78.0,66.0,962.0,0.0
108,Mature,73.5,78.5,67.0,961.5,0.0
109,Mature,74.0,79.0,68.0,961.0,0.0
110,Mature,74.5,79.5,69.0,960.5,0.0
111,Mature,75.0,80.0,70.0,960.0,0.0
112,Mature,75.5,80.5,71.0,959.5,0.0
113,Mature,76.0,81.0,72.0,959.0,0.0
114,Mature,76.5,81.5,73.0,958.5,0.0
115,Mature,77.0,82.0,74.0,958.0,0.0
116,Mature,77.5,82.5,75.0,957.5,0.0
117,Mature,78.0,83.0,76.0,957.0,0.0
118,Mature,78.5,83.5,77.0,956.5,0.0
119,Mature,79.0,84.0,78.0,956.0,0.0
120,Mature,79.5,84.5,79.0,955.5,0.0
