Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
63,Expansion,26.2,36.2,82.0,984.0,6.0
64,Expansion,26.3,36.3,83.0,983.5,5.5
65,Expansion,26.4,36.4,84.0,983.0,4.0
66,Expansion,26.5,36.5,85.0,982.5,6.5
67,Expansion,26.6,36.6,86.0,982.0,5.0
68,Expansion,26.7,36.7,87.0,981.5,4.0
69,Expansion,26.8,36.8,88.0,981.0,6.0
70,Expansion,26.9,36.9,89.0,980.5,5.5
71,Expansion,27.0,37.0,80.0,980.0,4.0
72,Expansion,27.1,37.1,81.0,979.5,5.0
73,Expansion,27.2,37.2,82.0,979.0,6.0
74,Expansion,27.3,37.3,83.0,978.5,5.5
75,Expansion,27.4,37.4,84.0,978.0,4.0
76,Expansion,27.5,37.5,85.0,977.5,6.5
77,Expansion,27.6,37.6,86.0,977.0,5.0
78,Expansion,27.7,37.7,87.0,976.5,4.0
79,Expansion,27.8,37.8,88.0,976.0,6.0
80,Expansion,27.9,37.9,89.0,975.5,5.5
81,Mature,28.0,38.0,80.0,975.0,4.0
82,Mature,28.1,38.1,81.0,974.5,5.0
83,Mature,28.2,38.2,82.0,974.0,6.0
84,Mature,28.3,38.3,83.0,973.5,5.5
85,Mature,28.4,38.4,84.0,973.0,4.0
86,Mature,28.5,38.5,85.0,972.5,6.5
87,Mature,28.6,38.6,86.0,972.0,5.0
88,Mature,28.7,38.7,87.0,971.5,4.0
89,Mature,28.8,38.8,88.0,971.0,6.0
90,Mature,28.9,38.9,89.0,970.5,5.5
91,Mature,29.0,39.0,80.0,970.0,4.5
92,Mature,29.1,39.1,81.0,969.5,5.0
93,Mature,29.2,39.2,82.0,969.0,6.0
94,Mature,29.3,39.3,83.0,968.5,5.5
95,Mature,29.4,39.4,84.0,968.0,4.0
96,Mature,29.5,39.5,85.0,967.5,6.5
97,Mature,29.6,39.6,86.0,967.0,5.0
98,Mature,29.7,39.7,87.0,966.5,4.0
99,Mature,29.8,39.8,88.0,966.0,6.0
100,Mature,29.9,39.9,89.0,965.5,5.5
101,Mature,30.0,40.0,80.0,965.0,4.0
102,Mature,30.1,40.1,81.0,964.5,5.0
103,Mature,30.2,40.2,82.0,964.0,6.0
104,Mature,30.3,40.3,83.0,963.5,5.5
105,Mature,30.4,40.4,84.0,963.0,4.0
106,Mature,30.5,40.5,85.0,962.5,6.5
107,Mature,30.6,40.6,86.0,962.0,5.0
108,Mature,30.7,40.7,87.0,961.5,4.0
109,Mature,30.8,40.8,88.0,961.0,6.0
110,Mature,30.9,40.9,89.0,960.5,5.5
111,Mature,31.0,41.0,80.0,960.0,4.5
112,Mature,31.1,41.1,81.0,959.5,5.0
113,Mature,31.2,41.2,82.0,959.0,6.0
114,Mature,31.3,41.3,83.0,958.5,5.5
115,Mature,31.4,41.4,84.0,958.0,4.0
116,Mature,31.5,41.5,85.0,957.5,6.5
117,Mature,31.6,41.6,86.0,957.0,5.0
118,Mature,31.7,41.7,87.0,956.5,4.0
119,Mature,31.8,41.8,88.0,956.0,6.0
120,Mature,31.9,41.9,89.0,955.5,5.5
121,Mature,32.0,42.0,80.0,955.0,4.0
122,Mature,32.1,42.1,81.0,954.5,5.0
123,Mature,32.2,42.2,82.0,954.0,6.0
124,Mature,32.3,42.3,83.0,953.5,5.5
125,Mature,32.4,42.4,84.0,953.0,4.0
126,Mature,32.5,42.5,85.0,952.5,6.5
127,Mature,32.6,42.6,86.0,952.0,5.0
128,Mature,32.7,42.7,87.0,951.5,4.0
129,Mature,32.8,42.8,88.0,951.0,6.0
130,Mature,32.9,42.9,89.0,950.5,5.5
131,Mature,33.0,43.0,80.0,950.0,4.0
132,Mature,33.1,43.1,81.0,949.5,5.0
133,Mature,33.2,43.2,82.0,949.0,6.0
134,Mature,33.3,43.3,83.0,948.5,5.5
135,Mature,33.4,43.4,84.0,948.0,4.0
136,Mature,33.5,43.5,85.0,947.5,6.5
137,Mature,33.6,43.6,86.0,947.0,5.0
138,Mature,33.7,43.7,87.0,946.5,4.0
139,Mature,33.8,43.8,88.0,946.0,6.0
140,Mature,33.9,43.9,89.0,945.5,5.5
141,Mature,34.0,44.0,80.0,945.0,4.0
142,Mature,34.1,44.1,81.0,944.5,5.0
143,Mature,34.2,44.2,82.0,944.0,6.0
144,Mature,34.3,44.3,83.0,943.5,5.5
145,Mature,34.4,44.4,84.0,943.0,4.0
146,Mature,34.5,44.5,85.0,942.5,6.5
147,Mature,34.6,44.6,86.0,942.0,5.0
148,Mature,34.7,44.7,87.0,941.5,4.0
149,Mature,34.8,44.8,88.0,941.0,6.0
150,Mature,34.9,44.9,89.0,940.5,5.5
151,Mature,35.0,45.0,80.0,940.0,4.0
152,Mature,35.1,45.1,81.0,939.5,5.0
153,Mature,35.2,45.2,82.0,939.0,6.0
154,Mature,35.3,45.3,83.0,938.5,5.5
155,Mature,35.4,45.4,84.0,938.0,4.0
156,Mature,35.5,45.5,85.0,937.5,6.5
157,Mature,35.6,45.6,86.0,937.0,5.0
158,Mature,35.7,45.7,87.0,936.5,4.0
159,Mature,35.8,45.8,88.0,936.0,6.0
160,Mature,35.9,45.9,89.0,935.5,5.5
161,Mature,36.0,46.0,80.0,935.0,4.0
162,Mature,36.1,46.1,81.0,934.5,5.0
163,Mature,36.2,46.2,82.0,934.0,6.0
164,Mature,36.3,46.3,83.0,933.5,5.5
165,Mature,36.4,46.4,84.0,933.0,4.0
166,Mature,36.5,46.5,85.0,932.5,6.5
167,Mature,36.6,46.6,86.0,932.0,5.0
168,Mature,36.7,46.7,87.0,931.5,4.0
169,Mature,36.8,46.8,88.0,931.0,6.0
170,Mature,36.9,46.9,89.0,930.5,5.5
171,Mature,37.0,47.0,80.0,930.0,4.0
172,Mature,37.1,47.1,81.0,929.5,5.0
173,Mature,37.2,47.2,82.0,929.0,6.0
174,Mature,37.3,47.3,83.0,928.5,5.5
175,Mature,37.4,47.4,84.0,928.0,4.0
176,Mature,37.5,47.5,85.0,927.5,6.5
177,Mature,37.6,47.6,86.0,927.0,5.0
178,Mature,37.7,47.7,87.0,926.5,4.0
179,Mature,37.8,47.8,88.0,926.0,6.0
180,Mature,37.9,47.9,89.0,925.5,5.5
