Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
88,Mature,23.7,38.7,87.0,971.5,4.0
89,Mature,23.8,38.8,88.0,971.0,6.0
90,Mature,23.9,38.9,89.0,970.5,5.5
91,Mature,24.0,39.0,80.0,970.0,4.5
92,Mature,24.1,39.1,81.0,969.5,5.0
93,Mature,24.2,39.2,82.0,969.0,6.0
94,Mature,24.3,39.3,83.0,968.5,5.5
95,Mature,24.4,39.4,84.0,968.0,4.0
96,Mature,24.5,39.5,85.0,967.5,6.5
97,Mature,24.6,39.6,86.0,967.0,5.0
98,Mature,24.7,39.7,87.0,966.5,4.0
99,Mature,24.8,39.8,88.0,966.0,6.0
100,Mature,24.9,39.9,89.0,965.5,5.5
101,Mature,25.0,40.0,80.0,965.0,4.0
102,Mature,25.1,40.1,81.0,964.5,5.0
103,Mature,25.2,40.2,82.0,964.0,6.0
104,Mature,25.3,40.3,83.0,963.5,5.5
105,Mature,25.4,40.4,84.0,963.0,4.0
106,Mature,25.5,40.5,85.0,962.5,6.5
107,Mature,25.6,40.6,86.0,962.0,5.0
108,Mature,25.7,40.7,87.0,961.5,4.0
109,Mature,25.8,40.8,88.0,961.0,6.0
110,Mature,25.9,40.9,89.0,960.5,5.5
111,Mature,26.0,41.0,80.0,960.0,4.5
112,Mature,26.1,41.1,81.0,959.5,5.0
113,Mature,26.2,41.2,82.0,959.0,6.0
114,Mature,26.3,41.3,83.0,958.5,5.5
115,Mature,26.4,41.4,84.0,958.0,4.0
116,Mature,26.5,41.5,85.0,957.5,6.5
117,Mature,26.6,41.6,86.0,957.0,5.0
118,Mature,26.7,41.7,87.0,956.5,4.0
119,Mature,26.8,41.8,88.0,956.0,6.0
120,Mature,26.9,41.9,89.0,955.5,5.5
