Date,Min Temp,Max Temp,Humidity,Pressure,Precipitation
2000-02-22,16.6,27.4,68,1012,0.0
2000-02-23,17.0,28.4,62,1011,0.0
2000-02-24,18.0,27.6,53,1012,0.0
2000-02-25,19.9,27.0,47,1011,0.0
2000-02-26,17.6,25.4,51,1010,0.0
2000-02-27,15.0,28.4,56,1010,0.0
2000-02-28,16.2,29.0,57,1011,0.0
2000-03-01,16.3,31.8,68,1007,0.0
2000-03-02,21.4,31.0,64,1006,0.0
2000-03-03,20.4,31.6,72,1007,0.0
2000-03-04,23.4,32.8,75,1007,0.0
2000-03-05,24.2,33.0,73,1006,0.0
2000-03-06,24.0,31.2,76,1006,0.0
2000-03-07,22.8,33.0,82,1007,0.0
2000-03-08,21.2,34.0,67,1005,0.0
2000-03-09,21.0,30.2,59,1005,0.0
2000-03-10,18.2,30.2,49,1007,0.0
2000-03-11,19.0,32.4,69,1006,0.0
2000-03-12,24.0,33.4,74,1003,0.0
2000-03-13,25.6,33.0,75,1003,0.5
2000-03-14,25.0,33.6,69,1005,0.0
2000-03-15,22.9,31.4,60,1006,0.0
2000-03-16,20.4,31.6,47,1006,0.0
2000-03-17,19.0,33.4,50,1006,0.0
2000-03-18,21.4,32.0,75,1006,0.0
2000-03-19,24.0,33.0,75,1006,0.0
2000-03-20,20.6,32.4,56,1007,0.0
2000-03-21,18.0,33.0,48,1009,0.0
2000-03-22,19.2,33.7,58,1008,0.0
2000-03-23,22.6,35.6,62,1010,0.0
2000-03-24,21.0,33.3,63,1010,0.0
2000-03-25,22.7,32.0,50,1011,0.0
2000-03-26,22.0,32.2,51,1010,0.0
2000-03-27,21.2,33.0,57,1010,0.0
2000-03-28,23.6,34.6,52,1009,0.0
2000-03-29,22.6,35.2,56,1009,0.0
2000-03-31,24.4,34.4,69,1006,0.0
2000-04-01,24.2,35.4,72,1004,0.0
2000-04-02,25.6,37.2,65,1002,0.0
2000-04-03,26.0,36.0,71,1004,0.0
2000-04-04,26.6,35.8,73,1003,0.0
2000-04-05,26.4,35.0,75,1003,0.0
2000-04-06,26.2,35.2,76,1003,0.0
2000-04-07,26.4,34.0,77,1005,0.0
2000-04-08,26.4,37.0,74,1004,0.0
2000-04-09,26.6,35.6,76,1002,0.0
2000-04-10,27.4,37.0,69,1003,0.0
2000-04-11,26.0,35.0,77,1003,0.0
2000-04-12,20.0,33.0,71,1005,1.0
2000-04-13,25.0,36.0,73,1002,0.0
2000-04-14,24.0,36.0,75,1002,0.5
2000-04-15,20.6,36.0,82,1004,13.5
2000-04-16,21.0,34.0,75,1005,2.5
2000-04-17,26.0,36.0,74,1004,0.5
2000-04-18,25.4,37.0,73,1004,0.0
2000-04-19,27.4,37.0,72,1004,0.0
2000-04-20,26.4,36.0,77,1003,0.0
2000-04-21,24.0,33.0,78,1003,0.0
2000-04-22,27.0,36.0,77,1003,0.0
2000-04-23,23.0,36.0,68,1003,0.5
2000-04-24,22.8,36.0,70,1002,30.0
2000-04-25,21.8,34.0,74,1001,5.5
2000-04-26,25.0,34.4,73,1000,0.0
2000-04-27,26.0,33.0,77,1001,0.5
2000-04-28,27.6,37.0,67,1000,0.0
2000-04-30,25.0,35.0,68,1003,0.0
2000-05-01,29.3,36.0,67,1002,0.0
2000-05-02,20.4,37.0,68,1004,0.0
2000-05-03,18.0,34.0,76,1005,5.0
2000-05-04,17.0,33.0,62,1006,1.5
2000-05-05,24.6,35.0,62,1006,0.0
2000-05-06,24.8,35.0,62,1007,0.0
2000-05-07,25.6,35.0,62,1006,0.0
2000-05-08,26.6,34.0,69,1005,0.0
2000-05-09,26.4,35.0,72,1005,4.5
2000-05-10,24.0,37.0,71,1003,4.0
2000-05-11,24.0,35.0,68,1001,1.5
2000-05-12,26.0,37.0,58,1000,1.5
2000-05-13,28.0,37.2,60,1000,0.0
2000-05-14,24.4,32.0,80,1000,2.5
2000-05-15,26.0,36.0,70,1000,1.5
2000-05-16,26.0,34.6,76,999,3.0
2000-05-17,22.6,35.0,78,998,7.0
2000-05-18,24.4,37.4,67,996,0.0
2000-05-19,24.6,36.4,74,996,2.0
2000-05-20,23.0,30.8,84,1000,1.0
2000-05-21,24.0,32.0,82,1000,17.0
2000-05-22,25.0,32.0,78,1000,17.0
2000-05-23,25.6,32.0,85,999,23.0
2000-05-24,26.0,34.0,75,998,2.0
2000-05-25,27.0,35.0,75,995,0.0
2000-05-26,26.0,35.2,77,995,0.0
2000-05-27,27.0,36.0,73,997,0.0
2000-05-28,28.0,35.0,68,999,0.0
2000-05-30,26.0,36.2,71,1000,7.5
2000-05-31,26.4,36.0,67,1000,2.0
2000-06-01,27.0,36.0,66,999,1.5
2000-06-02,28.2,36.0,64,999,3.5
2000-06-03,27.4,35.0,69,999,0.0
2000-06-04,26.8,35.6,79,998,8.5
2000-06-05,25.0,31.0,85,998,13.0
2000-06-06,26.0,30.0,86,998,15.5
2000-06-07,27.0,31.0,84,1001,10.0
2000-06-08,27.0,33.0,84,1002,10.5
2000-06-09,27.0,35.0,78,1000,5.0
2000-06-10,27.4,34.2,82,999,4.5
2000-06-11,26.0,31.8,87,997,9.0
2000-06-12,26.0,34.2,81,997,0.0
2000-06-13,25.0,34.0,81,998,9.5
2000-06-14,26.6,35.2,78,998,26.5
2000-06-15,27.0,33.8,79,998,6.0
2000-06-16,27.0,34.0,79,997,8.0
2000-06-17,26.0,34.2,77,996,9.0
2000-06-18,27.0,33.0,77,995,11.0
2000-06-19,27.0,33.0,78,997,2.0
2000-06-20,27.6,32.0,79,999,5.5
2000-06-21,27.4,33.0,76,1000,2.5
2000-06-22,26.6,30.0,85,1000,3.0
2000-06-23,25.3,32.0,83,999,7.0
2000-06-24,25.0,35.4,78,997,0.0
2000-06-25,24.0,35.0,80,998,3.0
2000-06-26,24.0,31.0,88,999,2.0
2000-06-27,25.4,34.0,73,999,7.0
2000-06-29,26.0,33.8,76,1001,1.0
2000-06-30,26.0,33.6,74,1001,3.5
2000-07-01,27.0,34.4,69,1000,2.5
2000-07-02,27.4,35.2,70,1000,0.5
2000-07-03,27.0,34.5,73,1000,0.0
2000-07-04,27.0,35.2,70,999,0.0
2000-07-05,27.0,34.6,67,999,0.0
2000-07-06,28.0,35.4,70,999,2.0
2000-07-07,28.0,33.0,75,999,1.0
2000-07-08,27.0,32.0,80,996,12.0
2000-07-09,27.0,34.0,81,995,10.5
2000-07-10,27.0,32.8,79,994,24.0
2000-07-11,26.0,33.4,75,994,6.0
2000-07-12,27.0,31.6,76,994,1.5
2000-07-13,26.0,32.0,77,996,3.0
2000-07-14,27.0,34.0,76,997,17.5
2000-07-15,28.0,33.4,78,995,10.0
2000-07-16,26.8,33.2,80,994,7.0
2000-07-17,27.4,33.2,82,992,6.0
2000-07-18,25.6,28.0,91,991,4.5
2000-07-19,24.0,30.0,85,994,5.5
2000-07-20,26.0,30.0,85,997,15.5
2000-07-21,24.0,27.4,90,1000,12.5
2000-07-22,24.8,29.0,78,1000,7.0
2000-07-23,24.0,28.0,90,998,21.0
2000-07-24,25.4,30.0,84,998,28.0
2000-07-25,24.0,29.4,87,999,14.0
2000-07-26,25.8,31.0,84,999,0.5
2000-07-27,25.0,32.6,80,998,6.0
2000-07-29,27.0,33.6,79,1034,8.0
2000-07-30,27.8,34.0,79,1034,5.0
2000-07-31,26.0,33.0,81,1033,4.0
2000-08-01,27.0,33.0,82,1001,22.0
2000-08-02,25.8,34.0,84,1001,3.5
2000-08-03,27.0,34.0,80,1001,6.0
2000-08-04,27.0,36.0,80,1001,2.5
2000-08-05,26.4,36.0,77,1000,0.5
2000-08-06,25.2,34.0,85,999,9.0
2000-08-07,26.8,33.0,83,999,8.5
2000-08-08,27.0,33.0,82,999,3.5
2000-08-09,27.0,31.8,86,999,5.0
2000-08-10,26.4,30.0,88,1000,5.0
2000-08-11,26.0,31.0,90,1001,6.5
2000-08-12,27.0,29.0,92,1003,3.0
2000-08-13,27.0,32.4,84,1004,13.5
2000-08-14,27.0,32.6,79,1002,17.5
2000-08-15,27.0,32.0,82,1001,15.0
2000-08-16,26.0,33.0,81,999,3.0
2000-08-17,26.0,32.6,88,997,20.5
2000-08-18,27.0,33.0,81,999,5.0
2000-08-19,27.0,31.0,83,1000,2.5
2000-08-20,27.0,32.0,83,999,1.5
2000-08-21,24.0,32.2,84,998,2.5
2000-08-22,26.0,32.6,77,1000,0.5
2000-08-23,26.0,33.0,79,1001,0.5
2000-08-24,26.8,34.0,81,1000,1.0
2000-08-25,26.0,34.0,76,1001,0.0
2000-08-26,28.0,33.4,82,1001,1.5
2000-08-28,27.4,34.0,78,998,1.5
2000-08-29,27.4,33.4,83,995,6.0
2000-08-30,26.6,32.0,85,994,19.5
2000-08-31,26.0,29.0,91,993,25.5
2000-09-01,26.0,33.0,84,994,11.5
2000-09-02,26.8,34.0,77,995,4.5
2000-09-03,26.4,34.0,73,999,0.0
2000-09-04,28.4,35.0,76,1001,1.0
2000-09-05,27.4,32.0,84,1001,8.0
2000-09-06,25.9,34.0,79,1000,14.5
2000-09-07,24.8,31.0,88,1001,14.5
2000-09-08,27.0,33.0,83,1002,5.5
2000-09-09,26.6,32.0,81,1001,10.0
2000-09-10,26.4,33.4,80,1001,8.5
2000-09-11,26.0,34.0,77,1000,2.5
2000-09-12,26.8,34.0,76,1001,0.5
2000-09-13,26.6,32.0,86,1002,36.0
2000-09-14,26.4,31.6,83,1002,2.5
2000-09-15,26.4,31.4,85,1003,0.5
2000-09-16,26.6,33.8,83,1004,4.5
2000-09-17,27.0,33.0,81,1005,12.0
2000-09-18,24.4,28.0,92,1003,39.0
2000-09-19,24.0,29.0,90,1002,71.0
2000-09-20,25.0,30.0,87,1005,20.0
2000-09-21,25.0,28.0,90,1008,12.0
2000-09-22,24.0,31.2,88,1009,5.0
2000-09-23,25.2,32.0,85,1007,9.0
2000-09-24,25.0,33.0,80,1006,7.5
2000-09-25,26.0,33.0,79,1006,2.0
2000-09-27,24.0,36.0,74,1006,0.0
2000-09-28,27.0,36.0,73,1005,0.0
2000-09-29,26.0,36.0,71,1005,0.0
2000-09-30,26.2,35.0,74,1004,0.0
2000-10-01,26.0,31.0,83,1005,0.0
2000-10-02,25.6,31.4,83,1006,0.0
2000-10-03,25.0,31.0,86,1006,0.5
2000-10-04,25.0,34.0,85,1006,2.5
2000-10-05,25.6,33.6,78,1007,13.5
2000-10-06,26.0,34.0,78,1007,1.0
2000-10-07,26.0,35.0,81,1007,1.0
2000-10-08,26.2,33.2,84,1006,0.0
2000-10-09,25.8,34.0,83,1004,3.5
2000-10-10,26.2,34.0,79,1005,0.0
2000-10-11,26.0,33.6,79,1005,0.5
2000-10-12,26.0,34.0,82,1005,0.0
2000-10-13,25.6,33.0,79,1003,0.5
2000-10-14,23.0,32.8,72,1003,0.0
2000-10-15,25.0,33.6,74,1004,0.0
2000-10-16,26.0,34.0,80,1005,5.0
2000-10-17,26.0,31.4,82,1006,4.5
2000-10-18,26.0,32.0,84,1005,2.0
2000-10-19,25.0,31.2,85,1005,0.5
2000-10-20,24.0,32.0,82,1005,0.5
2000-10-21,26.8,35.0,72,1005,0.0
2000-10-22,26.0,34.0,78,1004,0.0
2000-10-23,24.0,32.2,87,1004,0.0
2000-10-24,23.0,33.6,81,1006,0.0
2000-10-25,24.0,33.0,82,1008,0.0
2000-10-27,23.4,28.0,90,1005,83.5
2000-10-28,20.4,25.0,88,1005,39.5
2000-10-29,12.0,23.0,84,1010,0.0
2000-10-30,21.2,27.0,83,1008,0.0
2000-10-31,21.6,30.0,81,1008,0.0
2000-11-01,22.0,30.4,80,1010,0.5
2000-11-02,23.8,31.0,81,1011,3.0
2000-11-03,23.4,31.0,79,1012,0.5
2000-11-04,23.6,32.0,73,1012,0.0
2000-11-05,23.8,32.0,71,1010,0.0
2000-11-06,22.0,32.0,69,1008,0.0
2000-11-07,21.4,32.0,67,1010,0.0
2000-11-08,19.8,32.0,69,1010,0.0
2000-11-09,19.2,33.0,66,1009,0.0
2000-11-10,18.6,34.0,62,1010,0.0
2000-11-11,18.8,32.0,66,1011,0.0
2000-11-12,18.0,32.0,69,1009,0.0
2000-11-13,19.8,31.0,68,1008,0.0
2000-11-14,18.0,31.4,71,1009,0.0
2000-11-15,19.6,31.0,69,1011,0.0
2000-11-16,18.0,30.0,71,1010,0.0
2000-11-17,18.6,29.6,73,1010,0.0
2000-11-18,19.0,31.0,72,1009,0.0
2000-11-19,19.0,30.0,76,1009,0.0
2000-11-20,20.0,31.0,77,1009,0.0
2000-11-21,20.0,30.6,81,1010,0.0
2000-11-22,19.0,31.0,79,1012,0.0
2000-11-23,19.0,31.0,71,1013,0.0
2000-11-24,18.4,29.6,74,1011,0.0
2000-11-26,17.0,33.0,62,1011,0.0
2000-11-27,18.4,31.0,66,1012,0.0
2000-11-28,17.6,29.0,71,1011,0.0
2000-11-29,19.4,27.2,73,1011,0.0
2000-11-30,17.0,28.8,71,1012,0.0
2000-12-01,17.2,27.0,70,1012,0.0
2000-12-02,15.0,26.0,57,1015,0.0
2000-12-03,12.0,25.4,61,1014,0.0
2000-12-04,0.0,26.0,67,1012,0.0
2000-12-05,0.0,26.0,68,1011,0.0
2000-12-06,11.6,26.4,72,1012,0.0
2000-12-07,12.6,26.6,73,1013,0.0
2000-12-08,12.4,26.0,77,1012,0.0
2000-12-09,13.0,27.0,75,1011,0.0
2000-12-10,13.0,28.0,67,1012,0.0
2000-12-11,12.6,28.0,71,1012,0.0
2000-12-12,14.0,27.2,75,1012,0.0
2000-12-13,13.4,25.4,73,1012,0.0
2000-12-14,12.4,24.8,71,1011,0.0
2000-12-15,13.0,26.0,71,1013,0.0
2000-12-16,14.0,26.4,64,1014,0.0
2000-12-17,14.0,27.2,66,1013,0.0
2000-12-18,11.0,26.4,71,1011,0.0
2000-12-19,14.0,27.6,70,1010,0.0
2000-12-20,13.0,27.0,69,1012,0.0
2000-12-21,14.0,25.0,66,1013,0.0
2000-12-22,13.0,25.6,71,1012,0.0
2000-12-23,14.0,25.6,70,1012,0.0
2000-12-24,14.0,26.0,73,1011,0.0
2000-12-26,16.6,27.0,63,1012,0.0
2000-12-27,16.6,27.0,66,1013,0.0
2000-12-28,15.0,27.0,64,1013,0.0
2000-12-29,14.8,26.0,63,1012,0.0
2000-12-30,13.6,26.0,67,1012,0.0
2000-12-31,13.0,26.0,68,1011,0.0
2001-01-01,13.7,27.0,68,1020,0.0
2001-01-02,16.6,27.0,64,1022,0.0
2001-01-03,16.6,25.0,73,1020,0.0
2001-01-04,12.0,23.0,71,1014,0.0
2001-01-05,11.0,22.0,65,1015,0.0
2001-01-06,10.6,21.0,71,1015,0.0
2001-01-07,9.4,22.8,75,1013,0.0
2001-01-08,10.0,24.6,76,1011,0.0
2001-01-09,11.6,26.0,81,1012,0.0
2001-01-10,11.8,22.2,68,1013,0.0
2001-01-11,9.8,22.6,68,1012,0.0
2001-01-12,8.0,24.0,69,1013,0.0
2001-01-13,9.0,24.0,70,1012,0.0
2001-01-14,11.4,25.0,68,1013,0.0
2001-01-15,11.0,23.0,69,1014,0.0
2001-01-16,10.0,25.0,69,1014,0.0
2001-01-17,10.8,25.4,67,1015,0.0
2001-01-18,10.0,25.0,69,1014,0.0
2001-01-19,8.0,25.2,67,1014,0.0
2001-01-20,9.0,27.0,67,1013,0.0
2001-01-21,9.0,27.0,68,1011,0.0
2001-01-22,10.0,28.4,68,1009,0.0
2001-01-23,15.0,29.4,68,1007,0.0
2001-01-25,9.2,24.0,61,1011,0.0
2001-01-26,9.2,25.0,64,1010,0.0
2001-01-27,9.6,26.0,66,1010,0.0
2001-01-28,10.2,26.0,66,1011,0.0
2001-01-29,11.0,27.0,69,1011,0.0
2001-01-30,11.0,29.0,74,1010,0.0
2001-01-31,14.0,28.8,82,1008,0.0
2001-02-01,17.0,31.0,71,1007,0.0
2001-02-02,4.7,29.2,65,1007,0.0
2001-02-03,0.0,27.0,64,1009,0.0
2001-02-04,13.0,27.0,62,1010,0.0
2001-02-05,14.0,28.0,68,1010,0.0
2001-02-06,16.0,29.0,80,1009,0.0
2001-02-07,13.6,26.4,62,1011,0.0
2001-02-08,12.0,28.0,61,1010,0.0
2001-02-09,12.6,28.0,56,1009,0.0
2001-02-10,11.8,30.0,54,1009,0.0
2001-02-11,13.4,28.8,69,1008,0.0
2001-02-12,13.6,30.0,64,1011,0.0
2001-02-13,13.6,29.0,64,1011,0.0
2001-02-14,11.4,29.4,62,1011,0.0
2001-02-15,13.4,30.4,64,1011,0.0
2001-02-16,14.6,29.4,77,1012,0.0
2001-02-17,15.0,30.6,75,1012,0.0
2001-02-18,17.4,32.2,65,1010,0.0
2001-02-19,19.0,31.0,66,1009,0.0
2001-02-20,17.6,30.2,65,1009,0.0
2001-02-21,20.0,30.4,77,1007,0.5
2001-02-22,20.0,29.4,69,1007,16.5
2001-02-24,20.0,33.2,69,1006,0.0
2001-02-25,21.0,33.4,73,1004,0.0
2001-02-26,24.0,33.0,73,1005,0.5
2001-02-27,21.0,29.8,60,1011,1.0
2001-02-28,20.6,32.0,69,1012,0.0
2001-03-01,20.0,31.0,76,1013,0.0
2001-03-02,20.0,30.2,74,1013,0.0
2001-03-03,18.0,30.0,51,1013,0.0
2001-03-04,16.0,30.6,53,1012,0.0
2001-03-05,16.0,26.0,74,1011,0.5
2001-03-06,14.0,31.0,62,1011,0.0
2001-03-07,17.2,31.8,57,1011,0.0
2001-03-08,15.0,31.2,56,1010,0.0
2001-03-09,18.0,30.6,67,1009,0.0
2001-03-10,18.0,32.4,58,1010,0.0
2001-03-11,16.0,34.0,56,1010,0.0
2001-03-12,17.4,34.0,52,1009,0.0
2001-03-13,18.0,34.0,57,1008,0.0
2001-03-14,20.0,33.0,72,1009,0.0
2001-03-15,20.0,34.0,63,1010,0.0
2001-03-16,22.0,35.0,64,1008,0.0
2001-03-17,22.0,34.0,71,1006,0.0
2001-03-18,21.0,34.0,60,1007,0.0
2001-03-19,20.0,35.4,56,1008,0.0
2001-03-20,22.0,35.4,63,1006,0.0
2001-03-21,21.0,35.4,73,1004,0.0
2001-03-22,21.0,34.6,75,1003,15.5
2001-03-23,21.0,30.2,73,1005,0.5
2001-03-24,21.0,31.6,67,1005,0.0
2001-03-26,21.0,35.0,59,1003,0.0
2001-03-27,25.0,36.0,66,1002,0.5
2001-03-28,26.0,36.4,70,1004,0.0
2001-03-29,21.5,35.4,72,1004,0.5
2001-03-30,21.0,35.0,67,1005,1.0
2001-03-31,21.0,32.4,68,1007,7.0
2001-04-01,23.0,33.4,70,1007,8.0
2001-04-02,23.0,33.0,73,1007,7.0
2001-04-03,21.0,34.0,71,1007,0.0
2001-04-04,24.0,36.0,64,1007,0.0
2001-04-05,24.0,37.0,58,1005,0.0
2001-04-06,22.0,37.0,66,1007,0.0
2001-04-07,22.0,37.0,68,1007,0.0
2001-04-08,23.0,37.0,65,1003,0.0
2001-04-09,27.0,35.4,72,1004,0.0
2001-04-10,27.0,35.6,75,1006,0.0
2001-04-11,27.0,37.2,71,1005,0.0
2001-04-12,26.0,34.8,78,1005,0.0
2001-04-13,25.5,32.0,64,1007,0.0
2001-04-14,22.0,30.6,66,1011,1.0
2001-04-15,22.0,34.0,71,1013,2.0
2001-04-16,21.0,33.0,75,1008,0.5
2001-04-17,22.0,35.6,76,1007,2.0
2001-04-18,21.0,30.4,78,1007,6.0
2001-04-19,23.0,36.0,63,1005,0.5
2001-04-20,23.0,37.0,50,1003,0.0
2001-04-21,26.0,38.0,47,1002,0.0
2001-04-22,23.9,38.0,48,1003,0.0
2001-04-23,23.0,38.4,51,1004,0.0
2001-04-25,26.0,38.0,65,1003,0.0
2001-04-26,25.0,36.2,68,1002,0.0
2001-04-27,28.0,35.4,68,1002,0.0
2001-04-28,27.8,36.0,70,1000,0.0
2001-04-29,29.0,36.2,71,1000,0.0
2001-04-30,21.0,35.0,70,1004,4.5
2001-05-01,22.0,32.0,73,1005,3.5
2001-05-02,22.0,35.4,67,1002,12.5
2001-05-03,26.0,34.0,72,1000,8.0
2001-05-04,21.0,32.6,67,1003,0.0
2001-05-05,20.0,35.0,64,1003,15.0
2001-05-06,22.0,31.6,67,1003,19.5
2001-05-07,22.0,33.2,76,1002,28.5
2001-05-08,23.0,34.4,79,999,1.5
2001-05-09,22.0,33.0,77,998,0.0
2001-05-10,25.3,35.4,78,997,0.0
2001-05-11,22.0,32.0,72,1001,0.0
2001-05-12,25.0,32.6,70,1001,18.5
2001-05-13,24.0,32.8,68,1001,0.0
2001-05-14,26.0,35.2,64,1002,0.0
2001-05-15,25.0,35.4,67,1003,0.0
2001-05-16,25.0,36.0,68,1003,8.0
2001-05-17,25.0,36.4,65,1002,0.5
2001-05-18,27.0,35.4,64,1002,20.0
2001-05-19,26.0,37.0,57,1001,3.5
2001-05-20,26.0,37.0,66,1001,8.0
2001-05-21,24.0,36.0,73,1001,13.5
2001-05-22,24.0,36.0,68,1000,0.0
2001-05-23,25.0,36.6,69,999,0.0
2001-05-25,26.0,35.0,75,996,0.0
2001-05-26,28.0,34.0,70,998,0.0
2001-05-27,24.0,35.0,79,1001,3.5
2001-05-28,24.0,35.4,71,999,9.5
2001-05-29,26.0,36.4,71,998,28.0
2001-05-30,26.6,37.0,65,998,2.5
2001-05-31,24.6,37.4,68,998,5.0
2001-06-01,25.0,34.0,67,999,1.5
2001-06-02,27.8,32.6,74,1001,42.0
2001-06-03,26.0,33.4,73,1003,46.0
2001-06-04,25.0,30.0,82,1002,15.0
2001-06-05,25.0,31.6,84,999,15.0
2001-06-06,25.0,34.0,83,999,5.0
2001-06-07,26.0,34.4,81,999,9.0
2001-06-08,26.0,32.4,82,997,1.5
2001-06-09,26.0,33.6,79,998,11.0
2001-06-10,26.0,33.4,79,998,6.0
2001-06-11,27.0,33.0,72,997,4.5
2001-06-12,27.0,32.2,72,995,4.0
2001-06-13,26.2,30.6,76,996,5.0
2001-06-14,25.0,28.0,83,995,22.5
2001-06-15,25.6,30.0,72,995,2.0
2001-06-16,25.8,28.4,80,994,0.0
2001-06-17,25.0,27.0,82,995,10.0
2001-06-18,25.0,27.0,82,997,7.5
2001-06-19,25.8,30.2,80,997,8.0
2001-06-20,26.4,34.0,75,995,12.0
2001-06-21,26.4,34.0,73,995,11.5
2001-06-22,26.0,32.0,80,995,9.5
2001-06-24,26.4,31.0,78,995,5.5
2001-06-25,26.6,32.0,81,995,8.0
2001-06-26,27.4,32.0,78,994,14.0
2001-06-27,27.6,32.4,76,995,14.5
2001-06-28,27.4,33.0,74,995,17.0
2001-06-29,27.4,32.0,74,995,18.5
2001-06-30,26.0,30.0,76,998,11.5
2001-07-01,25.6,31.2,79,1000,21.5
2001-07-02,25.4,29.0,83,998,116.5
2001-07-03,26.4,31.0,80,996,44.5
2001-07-04,26.0,32.6,75,994,2.5
2001-07-05,27.0,33.2,72,994,0.5
2001-07-06,27.0,32.6,72,994,0.0
2001-07-07,27.0,32.0,73,994,4.5
2001-07-08,27.3,32.2,72,994,2.5
2001-07-09,27.0,30.8,69,995,3.5
2001-07-10,26.0,29.0,74,997,13.0
2001-07-11,25.8,27.4,80,998,34.0
2001-07-12,26.0,28.2,78,999,10.5
2001-07-13,26.2,31.0,68,999,0.0
2001-07-14,26.2,32.0,70,998,1.0
2001-07-15,27.0,34.0,75,997,3.0
2001-07-16,26.4,31.0,74,996,3.5
2001-07-17,26.6,32.8,70,995,4.5
2001-07-18,26.6,32.0,78,994,9.5
2001-07-19,27.0,30.2,73,996,1.5
2001-07-20,26.0,30.4,71,997,2.5
2001-07-21,27.0,30.4,80,996,22.0
2001-07-22,27.4,33.8,83,997,12.0
2001-07-24,26.8,31.2,82,999,12.0
2001-07-25,27.0,33.3,83,999,7.5
2001-07-26,26.0,32.0,84,1000,6.5
2001-07-27,27.0,32.4,83,999,4.0
2001-07-28,27.0,32.2,81,999,7.0
2001-07-29,25.4,31.6,82,1000,17.0
2001-07-30,25.0,33.4,84,1002,22.5
2001-07-31,26.6,34.0,78,1002,9.0
2001-08-01,26.6,31.0,84,1000,4.0
2001-08-02,20.4,32.0,80,997,23.5
2001-08-03,27.2,33.4,77,999,3.0
2001-08-04,27.0,32.0,79,1003,5.5
2001-08-05,26.8,31.0,82,1003,5.5
2001-08-06,26.4,32.2,79,1002,2.0
2001-08-07,26.4,34.0,73,1002,1.0
2001-08-08,27.8,33.0,75,1002,1.5
2001-08-09,26.6,32.0,76,1003,2.5
2001-08-10,26.6,31.6,78,1002,4.0
2001-08-11,26.0,33.0,76,1002,2.5
2001-08-12,27.0,32.6,80,1000,4.5
2001-08-13,26.6,34.0,81,998,5.5
2001-08-14,27.0,32.0,78,999,6.0
2001-08-15,26.4,31.4,80,1000,5.5
2001-08-16,26.6,34.0,76,998,16.5
2001-08-17,26.6,34.0,81,996,12.5
2001-08-18,26.4,35.0,74,995,5.5
2001-08-19,28.0,34.0,74,996,2.0
2001-08-20,27.0,32.0,81,998,1.5
2001-08-21,27.0,33.0,77,999,0.5
2001-08-23,27.0,32.0,78,999,3.0
2001-08-24,28.0,31.0,78,1000,3.0
2001-08-25,27.2,32.0,78,1000,6.5
2001-08-26,27.6,34.0,78,999,6.5
2001-08-27,26.4,33.0,85,997,13.5
2001-08-28,26.0,32.0,85,996,14.0
